time,xmin,xmax,ymin,ymax,class
16.6,1159.650634765625,1260.8907470703125,598.7646484375,674.846435546875,speed
16.64,237.32862854003906,442.86181640625,539.020263671875,666.4283447265625,side mirror
16.64,868.32421875,1186.729248046875,359.4129638671875,447.85565185546875,reer mirror
16.64,1222.5479736328125,1332.8924560546875,602.9514770507812,682.7579956054688,speed
16.64,1718.7462158203125,1920.0,554.42578125,691.7386474609375,side mirror
16.68,958.646484375,1285.412109375,359.986083984375,448.9503479003906,reer mirror
16.68,371.2425231933594,548.2157592773438,536.4630126953125,650.3794555664062,side mirror
16.68,1321.0869140625,1439.968505859375,603.9005126953125,697.1094360351562,speed
16.68,1852.8782958984375,1920.0,558.3341674804688,705.8111572265625,side mirror
16.72,1434.443603515625,1564.7900390625,605.922607421875,700.0869750976562,speed
16.72,1057.0394287109375,1399.389892578125,355.9585876464844,446.6175842285156,reer mirror
16.72,490.770263671875,655.5115356445312,530.9534912109375,638.7771606445312,side mirror
16.76,1534.151123046875,1661.188232421875,607.9132080078125,701.799072265625,speed
16.76,1145.611083984375,1470.1910400390625,345.3028564453125,437.88226318359375,reer mirror
16.76,578.2664794921875,737.74755859375,522.2477416992188,631.2723999023438,side mirror
16.8,1205.0582275390625,1550.1439208984375,325.5314636230469,427.3245849609375,reer mirror
16.8,638.9705810546875,785.59716796875,511.6956481933594,617.7265014648438,side mirror
16.8,1604.730224609375,1733.985107421875,603.4320678710938,697.830078125,speed
16.84,1240.9405517578125,1594.3692626953125,312.8928527832031,420.4222717285156,reer mirror
16.84,667.2125854492188,816.6321411132812,503.10040283203125,608.357666015625,side mirror
16.84,1647.88623046875,1790.7392578125,597.1375122070312,693.280029296875,speed
16.88,1260.147705078125,1619.34521484375,302.2526550292969,412.9838562011719,reer mirror
16.88,682.3148803710938,829.8782958984375,497.00677490234375,598.973876953125,side mirror
16.88,1671.71337890625,1809.470947265625,590.0156860351562,688.1328735351562,speed
16.92,1258.291748046875,1627.0625,294.8898010253906,399.4985046386719,reer mirror
16.92,680.5244750976562,829.4366455078125,490.8851013183594,594.5866088867188,side mirror
16.92,1671.0172119140625,1819.5296630859375,579.3486328125,679.0323486328125,speed
16.96,1258.9959716796875,1617.3934326171875,284.8144226074219,390.3082580566406,reer mirror
16.96,1668.601318359375,1819.078857421875,572.3231811523438,671.510009765625,speed
16.96,679.770263671875,826.656982421875,482.56201171875,586.5851440429688,side mirror
17.0,673.2422485351562,824.6034545898438,477.8590393066406,582.91357421875,side mirror
17.0,1256.3587646484375,1618.2586669921875,275.4628601074219,385.2420959472656,reer mirror
17.0,1663.916748046875,1818.098876953125,564.2215576171875,665.6815795898438,speed
17.04,670.7723388671875,821.0200805664062,471.6944274902344,576.2005615234375,side mirror
17.04,1249.672119140625,1618.7237548828125,267.0894775390625,379.85205078125,reer mirror
17.04,1663.8497314453125,1814.25,554.2705078125,656.6332397460938,speed
17.080000000000002,669.233642578125,821.4893188476562,465.1308288574219,572.7308959960938,side mirror
17.080000000000002,1249.45458984375,1619.16845703125,258.5130920410156,370.2037658691406,reer mirror
17.080000000000002,1668.9620361328125,1820.1741943359375,548.257080078125,648.7305297851562,speed
17.12,668.3027954101562,819.7619018554688,462.4536437988281,569.6270751953125,side mirror
17.12,1251.7720947265625,1621.1480712890625,247.6640167236328,365.10235595703125,reer mirror
17.12,1670.5654296875,1816.315185546875,541.0043334960938,643.2006225585938,speed
17.16,1250.31787109375,1621.3128662109375,241.04791259765625,361.6534729003906,reer mirror
17.16,667.1907348632812,819.9186401367188,458.7797546386719,566.6421508789062,side mirror
17.16,1668.613037109375,1821.322998046875,536.4707641601562,637.9403686523438,speed
17.2,664.40283203125,816.1578979492188,457.5040283203125,565.245849609375,side mirror
17.2,1245.566162109375,1615.844970703125,237.75828552246094,357.8824768066406,reer mirror
17.2,1661.1939697265625,1811.3818359375,531.2111206054688,632.01708984375,speed
17.2,0.17726898193359375,51.27069854736328,757.5721435546875,964.7420654296875,side mirror
17.240000000000002,1645.1920166015625,1789.5106201171875,529.15087890625,626.7926025390625,speed
17.240000000000002,1232.905517578125,1604.4012451171875,237.64242553710938,356.5667724609375,reer mirror
17.240000000000002,656.0380249023438,805.0982666015625,459.069580078125,565.6600952148438,side mirror
17.28,633.8914184570312,783.4724731445312,460.2756042480469,569.0167236328125,side mirror
17.28,1217.96826171875,1577.0435791015625,243.45547485351562,357.37591552734375,reer mirror
17.28,1618.5955810546875,1749.7001953125,527.80810546875,620.4944458007812,speed
17.32,1179.8211669921875,1532.3572998046875,248.3755645751953,361.45086669921875,reer mirror
17.32,596.2200317382812,749.247314453125,464.8199157714844,577.1396484375,side mirror
17.32,1555.4798583984375,1687.5457763671875,528.025146484375,624.8978271484375,speed
17.32,0.4922618865966797,83.45882415771484,409.7520446777344,535.6282348632812,side mirror
17.36,1106.2171630859375,1456.6334228515625,260.22930908203125,365.15203857421875,reer mirror
17.36,513.4127807617188,677.2097778320312,474.1780700683594,586.7142944335938,side mirror
17.36,1464.09521484375,1589.2108154296875,525.9047241210938,617.1009521484375,speed
17.400000000000002,1020.1118774414062,1358.4200439453125,269.9990234375,373.6681213378906,reer mirror
17.400000000000002,400.281005859375,570.33984375,485.2899475097656,595.8690795898438,side mirror
17.400000000000002,1356.6278076171875,1480.543701171875,525.895263671875,616.5139770507812,speed
17.44,1762.6417236328125,1920.0,473.9446105957031,615.7294921875,side mirror
17.44,916.0120239257812,1254.8577880859375,279.87060546875,378.5310974121094,reer mirror
17.44,1248.4794921875,1362.77392578125,529.2271728515625,612.6618041992188,speed
17.44,264.03753662109375,460.5437927246094,491.0533752441406,612.037109375,side mirror
17.48,117.83128356933594,329.4483947753906,500.86761474609375,629.07275390625,side mirror
17.48,1620.3497314453125,1854.8587646484375,481.02886962890625,611.0520629882812,side mirror
17.48,820.8328857421875,1144.244384765625,294.7579650878906,381.3310546875,reer mirror
17.48,1147.79736328125,1258.78125,534.3433227539062,617.3627319335938,speed
17.52,730.4779663085938,1047.8499755859375,299.5694580078125,390.56048583984375,reer mirror
17.52,0.0048065185546875,205.68617248535156,509.89910888671875,653.99365234375,side mirror
17.52,1498.252197265625,1710.9716796875,484.0716247558594,604.6128540039062,side mirror
17.52,1064.785400390625,1165.65234375,538.3839721679688,619.2727661132812,speed
17.56,0.3185920715332031,107.6148452758789,521.215087890625,664.2042846679688,side mirror
17.56,1419.630615234375,1609.7733154296875,486.98193359375,600.7635498046875,side mirror
17.56,660.1132202148438,975.41552734375,306.8855895996094,398.3409118652344,reer mirror
17.56,1004.68505859375,1102.276611328125,547.4673461914062,622.2257080078125,speed
17.6,1365.916259765625,1543.17041015625,485.72955322265625,599.120361328125,side mirror
