participant number,Scenario number,index 1,index 2,dataframe eye,start drive,end drive,initial start eye,initial end eye,lag,new start eye,new end eye,star video,end video,start in,end in,video_path
25,5.0,0,12665,data_eye\25_5.0_351.6487850892434.pkl,2022-10-26 16:27:25.753,2022-10-26 16:28:59.802,2022-10-26 16:25:16,2022-10-26 16:29:29.756939,221.895785,2022-10-26 16:21:34.104215,2022-10-26 16:25:47.861154,351.6487850892434,445.69778508924344,False,False,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T152516Z\scenevideo.mp4
25,4.0,386,4188,data_eye\25_4.0_7.733996522973213.pkl,2022-10-26 16:30:25.063,2022-10-26 16:31:41.244,2022-10-26 16:30:04,2022-10-26 16:33:50.688393,-13.329003,2022-10-26 16:30:17.329003,2022-10-26 16:34:04.017396,7.733996522973213,83.91499652297321,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T153004Z\scenevideo.mp4
25,8.0,4999,9809,data_eye\25_8.0_100.15999652297322.pkl,2022-10-26 16:31:57.489,2022-10-26 16:33:33.873,2022-10-26 16:30:04,2022-10-26 16:33:50.688393,-13.329003,2022-10-26 16:30:17.329003,2022-10-26 16:34:04.017396,100.15999652297322,196.5439965229732,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T153004Z\scenevideo.mp4
26,3.0,1040,5134,data_eye\26_3.0_21.198345151460835.pkl,2022-10-26 16:48:03.320,2022-10-26 16:49:29.454,2022-10-26 16:47:45,2022-10-26 16:51:29.535410,2.878345,2022-10-26 16:47:42.121655,2022-10-26 16:51:26.657065,21.198345151460835,107.33234515146083,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T154745Z\scenevideo.mp4
26,5.0,6056,9909,data_eye\26_5.0_126.17334515146084.pkl,2022-10-26 16:49:48.295,2022-10-26 16:51:07.333,2022-10-26 16:47:45,2022-10-26 16:51:29.535410,2.878345,2022-10-26 16:47:42.121655,2022-10-26 16:51:26.657065,126.17334515146084,205.21134515146082,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T154745Z\scenevideo.mp4
26,4.0,450,4235,data_eye\26_4.0_9.01630403108305.pkl,2022-10-26 16:52:03.187,2022-10-26 16:53:21.731,2022-10-26 16:51:41,2022-10-26 16:55:49.704717,-13.170696,2022-10-26 16:51:54.170696,2022-10-26 16:56:02.875413,9.01630403108305,87.56030403108305,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T155141Z\scenevideo.mp4
26,8,7462,12005,data_eye\26_8_152.26230403108306.pkl,2022-10-26 16:54:26.433,2022-10-26 16:55:57.447,2022-10-26 16:51:41,2022-10-26 16:55:49.704717,-13.170696,2022-10-26 16:51:54.170696,2022-10-26 16:56:02.875413,152.26230403108306,243.27630403108304,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221026T155141Z\scenevideo.mp4
27,3.0,364,4748,data_eye\27_3.0_7.293194892409553.pkl,2022-10-27 09:26:33.407,2022-10-27 09:28:01.250,2022-10-27 09:26:15,2022-10-27 09:31:54.526887,-11.113805,2022-10-27 09:26:26.113805,2022-10-27 09:32:05.640692,7.293194892409553,95.13619489240956,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T082615Z\scenevideo.mp4
27,5.0,6293,8818,data_eye\27_5.0_126.09819489240957.pkl,2022-10-27 09:28:32.212,2022-10-27 09:29:22.828,2022-10-27 09:26:15,2022-10-27 09:31:54.526887,-11.113805,2022-10-27 09:26:26.113805,2022-10-27 09:32:05.640692,126.09819489240957,176.71419489240958,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T082615Z\scenevideo.mp4
27, 5,9156,14580,data_eye\27_ 5_183.49019489240956.pkl,2022-10-27 09:29:29.604,2022-10-27 09:31:20.037,2022-10-27 09:26:15,2022-10-27 09:31:54.526887,-11.113805,2022-10-27 09:26:26.113805,2022-10-27 09:32:05.640692,183.49019489240956,293.9231948924096,True,True,C:/Users/imucl/Documents/U17CC/data/ETG\20221027T082615Z\scenevideo.mp4
