epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
25,2580.35,1.06779,0.76237,1.05419,0.96093,0.97045,0.995,0.77403,0.86554,0.66137,1.02537,0.00108947,0.00108947,0.00108947
26,2690.4,1.08741,0.74529,1.06452,0.95341,0.97179,0.995,0.73872,0.91379,0.68813,1.03054,0.00107532,0.00107532,0.00107532
27,2804.83,1.07902,0.76328,1.06579,0.98104,0.96667,0.99197,0.75491,0.8839,0.62397,1.03586,0.00106118,0.00106118,0.00106118
28,2925.66,1.06217,0.73938,1.05469,0.95782,0.96099,0.99197,0.7721,0.85437,0.68367,0.99187,0.00104703,0.00104703,0.00104703
29,3037.75,1.0745,0.75974,1.07937,0.97634,0.96667,0.99197,0.70919,0.95603,0.71997,1.04397,0.00103288,0.00103288,0.00103288
30,3149.78,1.02598,0.71667,1.04438,0.97277,0.96667,0.98731,0.76871,0.88572,0.66038,1.01585,0.00101873,0.00101873,0.00101873
31,3266.69,1.11847,0.74015,1.05646,0.98007,0.96667,0.98731,0.71326,1.03066,0.65947,1.05482,0.00100459,0.00100459,0.00100459
32,3384.38,1.10347,0.73995,1.06262,0.97292,0.95539,0.98944,0.74119,0.91674,0.66241,1.03467,0.00099044,0.00099044,0.00099044
33,3502.15,1.05669,0.70047,1.03874,0.98383,0.96667,0.98944,0.78125,0.84719,0.60191,0.99603,0.000976293,0.000976293,0.000976293
34,3614.24,1.05687,0.70961,1.03119,0.9409,0.96667,0.98611,0.78916,0.86669,0.62022,0.99997,0.000962146,0.000962146,0.000962146
35,3729.84,1.04499,0.69207,1.03909,0.97239,0.96667,0.98731,0.75353,0.92257,0.65507,1.01621,0.000947999,0.000947999,0.000947999
36,3852.51,1.00076,0.6613,1.02019,0.97964,0.95915,0.98944,0.78821,0.89078,0.64511,1.0096,0.000933851,0.000933851,0.000933851
37,3973.31,1.03729,0.659,1.0252,0.98014,0.96007,0.98944,0.76971,0.80664,0.63734,0.99495,0.000919704,0.000919704,0.000919704
38,4097.54,1.03187,0.65655,1.02137,0.98098,0.967,0.995,0.74874,0.9068,0.58685,1.03371,0.000905557,0.000905557,0.000905557
39,4217.35,1.03077,0.67703,1.03944,0.983,0.97621,0.995,0.7743,0.88076,0.57679,1.02085,0.00089141,0.00089141,0.00089141
40,4358.28,0.99051,0.66071,1.0108,0.93807,0.99446,0.995,0.75469,0.93568,0.55994,1.02352,0.000877263,0.000877263,0.000877263
41,4497.56,1.02522,0.64407,1.01687,0.97005,0.967,0.995,0.7899,0.88785,0.55427,1.00355,0.000863116,0.000863116,0.000863116
42,4625.43,1.02955,0.64499,1.01963,0.98419,0.96955,0.995,0.74701,0.95807,0.57755,1.03938,0.000848969,0.000848969,0.000848969
43,4749.37,1.00903,0.65322,1.02505,0.98478,0.97508,0.995,0.72049,1.02349,0.587,1.05712,0.000834822,0.000834822,0.000834822
44,4879.52,1.02327,0.64917,1.01371,0.98057,0.97095,0.995,0.74372,0.91436,0.54668,1.02433,0.000820675,0.000820675,0.000820675
45,5009.69,0.98618,0.61893,1.00916,0.98711,0.97667,0.995,0.73023,0.9453,0.57133,1.04042,0.000806528,0.000806528,0.000806528
46,5138.73,1.00578,0.65152,1.03098,0.96545,0.96667,0.99197,0.77702,0.88349,0.55367,0.99513,0.00079238,0.00079238,0.00079238
47,5257.78,0.98872,0.63018,1.01281,0.98056,0.96332,0.99197,0.77887,0.8731,0.5606,1.01177,0.000778233,0.000778233,0.000778233
48,5382.76,0.96043,0.59563,0.98446,0.9706,0.96782,0.995,0.76519,0.8951,0.52891,1.00884,0.000764086,0.000764086,0.000764086
